"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "Year"
"36" 43700 75900 91700 64100 198000 12300 9110 26000 26300 94900 30700 44400 25000 39000 505000 42200 16800 41700 61600 70500 16400 10300 26800 22600 22200 51200 129000 1970
"37" 44400 61200 71000 67800 131000 16000 10600 13200 22900 65000 25600 39300 20100 29800 459000 40700 17700 30000 40200 47400 7780 12900 34100 24900 34700 63500 121000 1971
"38" 76000 118000 144000 92100 344000 18400 9470 42800 72400 102000 24800 28400 18200 21900 519000 44700 17700 38500 60000 58500 7380 16700 27600 23700 35700 66900 134000 1972
"39" 40500 57700 69000 79000 157000 16300 8940 47300 66000 77100 26300 30300 22100 27000 527000 45600 16600 39500 55400 56700 11200 12000 25200 21700 30900 57800 115000 1973
"40" 49600 70500 80000 97000 157000 21600 11200 33600 40000 82100 25700 31600 22700 33400 523000 54200 23500 52500 81100 82800 19600 15000 28000 16300 23500 57400 149000 1974
"41" 56100 83600 99900 76400 162000 19400 12800 37400 53200 96200 53700 54800 35000 55100 514000 58300 16600 34700 46300 49800 16000 18600 43700 37800 42800 78700 134000 1975
"42" 68200 1e+05 109000 50100 176000 19300 9870 30500 42400 81800 29900 33700 18500 30300 488000 45900 20900 43400 58400 56300 11500 15800 23700 17400 22500 46400 105000 1976
"43" 48000 1e+05 78200 74200 128000 19700 11200 44100 74400 106000 20100 21600 17100 23200 506000 40600 15600 22300 27000 27000 7280 4580 18500 12500 16900 33700 76900 1977
"44" 58000 88500 96900 90800 160000 22000 11500 86500 75800 94300 33800 44200 26000 37500 606000 42600 23100 49500 71900 66700 16500 18500 44400 33800 47200 87400 178000 1978
"45" 50100 75300 84300 102000 206000 19500 11600 40000 55300 86000 39400 50500 23600 37000 630000 73400 21900 48800 75600 74400 22500 18600 47700 36700 48400 85000 168000 1979
"46" 36400 51000 61800 83600 138000 17200 10700 29200 42600 59200 30900 29400 27200 31600 385000 43300 18500 46200 55300 52400 7380 19300 22000 24300 32600 56500 87400 1980
"47" 70300 91200 113000 84900 203000 20000 13000 21100 25700 68200 29800 28300 20800 20800 420000 40000 20600 43200 61600 66000 7390 10200 37300 29400 24100 65000 122000 1981
